GEOID,NAME,TotalE,TotalM,PovertyE,PovertyM,median_incomeE,median_incomeM,pct_pov,median_income
36001000502,"Census Tract 5.02, Albany County, New York",3747,288,425,173,,,11.3424072591406,
36001013507,"Census Tract 135.07, Albany County, New York",2432,187,341,172,33077,8722,14.0213815789474,33077
36001014612,"Census Tract 146.12, Albany County, New York",1610,118,106,49,,,6.58385093167702,
36001014803,"Census Tract 148.03, Albany County, New York",3390,20,135,117,40491,8411,3.98230088495575,40491
36003940200,"Census Tract 9402, Allegany County, New York",20,21,0,11,,,0,
36005002300,"Census Tract 23, Bronx County, New York",4774,491,2572,421,11934,2843,53.8751571009636,11934
36005002701,"Census Tract 27.01, Bronx County, New York",3016,281,1586,334,15125,3001,52.5862068965517,15125
36005004100,"Census Tract 41, Bronx County, New York",6476,502,3401,681,12275,2382,52.5169857936998,12275
36005004800,"Census Tract 48, Bronx County, New York",3999,427,1327,375,15707,1478,33.183295823956,15707
36005006700,"Census Tract 67, Bronx County, New York",7421,966,3415,664,14360,2111,46.0180568656515,14360
36005008900,"Census Tract 89, Bronx County, New York",3438,380,1118,307,,,32.5189063408959,
36005011900,"Census Tract 119, Bronx County, New York",5603,423,2203,459,15922,1958,39.3182223808674,15922
36005013000,"Census Tract 130, Bronx County, New York",1364,176,78,68,,,5.71847507331378,
36005015800,"Census Tract 158, Bronx County, New York",1202,193,138,83,,,11.4808652246256,
36005016600,"Census Tract 166, Bronx County, New York",2252,301,230,110,,,10.2131438721137,
36005017500,"Census Tract 175, Bronx County, New York",7004,610,3175,740,13811,2588,45.3312392918332,13811
36005018301,"Census Tract 183.01, Bronx County, New York",4202,363,1003,328,17673,2713,23.8695859114707,17673
36005021001,"Census Tract 210.01, Bronx County, New York",9254,866,1342,422,33441,2938,14.5018370434407,33441
36005022102,"Census Tract 221.02, Bronx County, New York",5010,600,2476,522,,,49.4211576846308,
36005022800,"Census Tract 228, Bronx County, New York",6231,657,1092,474,29316,3785,17.5252768415985,29316
36005025100,"Census Tract 251, Bronx County, New York",6564,734,2273,652,,,34.6282754418038,
36005028800,"Census Tract 288, Bronx County, New York",3527,374,172,203,,,4.87666572157641,
36005031200,"Census Tract 312, Bronx County, New York",2015,163,81,63,,,4.01985111662531,
36005033700,"Census Tract 337, Bronx County, New York",2277,224,132,75,,,5.79710144927536,
36005035900,"Census Tract 359, Bronx County, New York",1960,201,871,203,,,44.4387755102041,
36005038000,"Census Tract 380, Bronx County, New York",4755,446,1816,475,19852,3022,38.1913774973712,19852
36005039200,"Census Tract 392, Bronx County, New York",1750,224,496,224,21238,2308,28.3428571428571,21238
36005039600,"Census Tract 396, Bronx County, New York",4287,503,1189,330,,,27.7350128294845,
36005039901,"Census Tract 399.01, Bronx County, New York",5168,462,2450,592,,,47.4071207430341,
36005040600,"Census Tract 406, Bronx County, New York",3635,555,968,461,21676,4713,26.6299862448418,21676
36005042300,"Census Tract 423, Bronx County, New York",4485,415,1639,426,24330,5103,36.5440356744705,24330
36005043600,"Census Tract 436, Bronx County, New York",2244,221,318,136,30332,4633,14.1711229946524,30332
36005044902,"Census Tract 449.02, Bronx County, New York",2031,242,172,86,36439,7608,8.46873461349089,36439
36007014000,"Census Tract 140, Broome County, New York",3135,386,1027,407,17493,2559,32.7591706539075,17493
36009960300,"Census Tract 9603, Cattaraugus County, New York",4599,284,414,165,28144,3751,9.00195694716243,28144
36009961600,"Census Tract 9616, Cattaraugus County, New York",4108,325,856,312,25132,4037,20.8373904576436,25132
36011041500,"Census Tract 415, Cayuga County, New York",2828,333,374,169,,,13.2248939179632,
36013035400,"Census Tract 354, Chautauqua County, New York",2987,338,910,437,20334,2517,30.4653498493472,20334
