Time,GeoType,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean mcg/m3
Annual Average 2009,UHF34,101,3,Kingsbridge - Riverdale,10.52,11.86,11.03
Annual Average 2009,UHF34,102,3,Northeast Bronx,10.3,11.48,10.68
Annual Average 2009,UHF34,103,3,Fordham - Bronx Park,10.5,11.79,11.1
Annual Average 2009,UHF34,104,3,Pelham - Throgs Neck,9.73,11.43,10.59
Annual Average 2009,UHF34,201,3,Greenpoint,11.34,12.61,11.93
Annual Average 2009,UHF34,202,3,Downtown - Heights - Slope,10.67,12.36,11.5
Annual Average 2009,UHF34,203,3,Bedford Stuyvesant - Crown Heights,10.39,11.13,10.75
Annual Average 2009,UHF34,204,3,East New York,9.9,11.7,10.6
Annual Average 2009,UHF34,205,3,Sunset Park,10.06,12.11,11.04
Annual Average 2009,UHF34,206,3,Borough Park,9.95,10.56,10.27
Annual Average 2009,UHF34,207,3,East Flatbush - Flatbush,10.09,10.81,10.47
Annual Average 2009,UHF34,208,3,Canarsie - Flatlands,9.12,10.87,9.85
Annual Average 2009,UHF34,209,3,Bensonhurst - Bay Ridge,9.49,10.52,9.91
Annual Average 2009,UHF34,210,3,Coney Island - Sheepshead Bay,9.12,9.97,9.55
Annual Average 2009,UHF34,211,3,Williamsburg - Bushwick,10.41,12.97,11.36
Annual Average 2009,UHF34,301,3,Washington Heights - Inwood,10.94,12.34,11.55
Annual Average 2009,UHF34,302,3,Central Harlem - Morningside Heights,11.32,11.99,11.6
Annual Average 2009,UHF34,303,3,East Harlem,11.13,11.99,11.55
Annual Average 2009,UHF34,304,3,Upper West Side,11.78,12.45,12.18
Annual Average 2009,UHF34,401,3,Long Island City - Astoria,10.53,12.85,11.4
Annual Average 2009,UHF34,402,3,West Queens,10.08,12.72,10.99
Annual Average 2009,UHF34,403,3,Flushing - Clearview,9.59,11.07,10.16
Annual Average 2009,UHF34,405,3,Ridgewood - Forest Hills,9.87,11.08,10.44
Annual Average 2009,UHF34,407,3,Southwest Queens,9.46,10.49,9.96
Annual Average 2009,UHF34,408,3,Jamaica,9.48,10.51,9.95
Annual Average 2009,UHF34,409,3,Southeast Queens,9.06,9.7,9.35
Annual Average 2009,UHF34,410,3,Rockaway,8.57,8.89,8.75
Annual Average 2009,UHF34,305307,3,Upper East Side - Gramercy,12.03,16.25,13.89
Annual Average 2009,UHF34,306308,3,Chelsea - Village,11.82,16.34,13.74
Annual Average 2009,UHF34,309310,3,"Union Square, Lower Manhattan",10.84,13.56,12.39
Annual Average 2009,UHF34,404406,3,Bayside - Meadows,9.31,10.48,9.83
Annual Average 2009,UHF34,501502,3,Northern SI,9.3,10.39,9.84
Annual Average 2009,UHF34,503504,3,Southern SI,9.31,10.54,9.8
Annual Average 2009,UHF34,105106107,3,South Bronx,10.82,12.53,11.64
